Date,Value
Aug-15,"4.8052118459597475e+20"""
Sep-15,"7.046467945767368e+19"""
Oct-15,"7.416931809333908e+19"""
Nov-15,"5.94847438624968e+19"""
Dec-15,"2.6764096183940477e+19"""
Jan-16,"6.1066070477195534e+19"""
Feb-16,"6.554760875990387e+19"""
Mar-16,"4.585306412778079e+19"""
Apr-16,"2.2670632047053574e+19"""
May-16,"4.7046609524467696e+19"""
Jun-16,"3.0490334850064945e+19"""
Jul-16,"9.577823510582162e+19"""
Aug-16,"5.908198737290139e+19"""
Sep-16,"3.2627612247557698e+19"""
Oct-16,"3.244442633970926e+19"""
Nov-16,"3.964431643835121e+19"""
Dec-16,"6.146658677538123e+19"""
Jan-17,"5.620285956535014e+19"""
Feb-17,"5.5580090162629894e+19"""
Mar-17,"1.770215809422216e+20"""
Apr-17,"1.113500746219076e+20"""
May-17,"1.248477736519318e+20"""
Jun-17,"5.678772230936386e+19"""
Jul-17,"6.498146379271945e+19"""
Aug-17,"4.827395651885162e+19"""
Sep-17,"3.437211515083116e+19"""
Oct-17,"2.676151521563102e+19"""
Nov-17,"2.9641103274740072e+19"""
Dec-17,"1.373122353832321e+19"""
Jan-18,"1.1164572720750385e+19"""
Feb-18,"6.23036279509096e+18"""
Mar-18,"2.72807989116239e+18"""
Apr-18,"2.449268234852113e+18"""
May-18,"2.4981909136531753e+18"""
Jun-18,"2.8085234163056717e+18"""
Jul-18,"2.2749347554396413e+18"""
Aug-18,"2.3989507981127404e+18"""
Oct-18,"3.0704021430259743e+18"""
Nov-18,"5.397909048901786e+18"""
Dec-18,"5.94489416348484e+18"""
Jan-19,"4.2547896734505953e+18"""
