column_name,space_saved,percentage_saved
number,16944447.5,0.465805239
hash,224000032,6.157792303
parent_hash,224000032,6.157792303
nonce,56000008,1.539448076
sha3_uncles,224000032,6.157792303
logs_bloom,1792000256,49.26233842
transactions_root,224000032,6.157792303
state_root,224000032,6.157792303
receipts_root,224000032,6.157792303
miner,140000020,3.848620189
difficulty,45092015.5,1.239585832
total_difficulty,65700399,1.806113185
size,7078047,0.194576505
extra_data,114808596,3.156104409
gas_limit,17414528.5,0.478727831
gas_used,11477951,0.315530483
timestamp,27999999.5,0.769723914
transaction_count,-848591.5,-0.023327899
base_fee_per_gas,0,0
