Date,Type,Amount
May-17,Phishing,9.00E+16
Jun-17,Phishing,1.00E+18
Jun-17,Fake ICO,1.83E+20
Jun-17,Scamming,9.88E+18
Jul-17,Phishing,1.06E+22
Jul-17,Scamming,2.45E+21
Jul-17,Fake ICO,1.62E+19
Aug-17,Phishing,1.42E+22
Aug-17,Fake ICO,1.81E+20
Aug-17,Scamming,3.02E+19
Sep-17,Fake ICO,9.75E+20
Sep-17,Phishing,3.63E+21
Sep-17,Scamming,1.82E+20
Oct-17,Scamming,1.84E+21
Oct-17,Phishing,2.77E+21
Nov-17,Phishing,3.63E+21
Nov-17,Scamming,3.31E+18
Dec-17,Phishing,2.00E+21
Dec-17,Scamming,2.87E+19
Jan-18,Scamming,8.03E+20
Jan-18,Phishing,2.85E+21
Feb-18,Phishing,5.56E+20
Feb-18,Scamming,5.48E+20
Mar-18,Scamming,3.31E+21
Mar-18,Phishing,1.11E+20
Apr-18,Phishing,4.31E+20
Apr-18,Scamming,2.59E+21
May-18,Scamming,2.07E+21
May-18,Phishing,9.81E+20
Jun-18,Scamming,2.74E+21
Jun-18,Fake ICO,1.24E+18
Jun-18,Phishing,1.00E+21
Jul-18,Phishing,1.38E+20
Jul-18,Scamming,3.39E+21
Aug-18,Phishing,4.83E+19
Aug-18,Scamming,1.19E+21
Sep-18,Phishing,3.41E+19
Sep-18,Scamming,1.80E+22
Oct-18,Scamming,1.76E+21
Oct-18,Phishing,3.43E+19
Nov-18,Scamming,2.38E+20
Nov-18,Phishing,7.53E+19
Dec-18,Scamming,4.79E+20
Dec-18,Phishing,1.45E+20
Jan-19,Scamming,1.53E+18
Jan-19,Phishing,4.12E+18
